model,fire_recall,leak_recall,obstacle_recall,recall,mAP50-95,precision,mAP50,mAP75,val_box_loss,val_cls_loss,val_dfl_loss,inference_ms_colab,fps_colab,model_size_mb
yolov8n,0.9770170556900027,0.9846153846153847,1.0,0.9872108134351292,0.6973876243457583,0.9845685602178746,0.9850297619047618,0.8111045488619318,1.03549,0.44451,1.05201,3.9642343622452767,252.25551988647223,5.955362319946289
yolov8s,1.0,0.9846153846153847,1.0,0.9948717948717949,0.7034991134859753,0.984363965815522,0.985486111111111,0.7826062578679253,1.03071,0.38972,1.11052,8.345398352039224,119.8265149027484,21.47141456604004
yolo11n,1.0,0.9846153846153847,1.0,0.9948717948717949,0.7043833781008745,0.984531190337568,0.9868849206349205,0.8452362749734873,0.99731,0.4413,1.04223,3.7421670510124088,267.2248422820834,5.215295791625977
yolo11s,0.9818181818181818,0.9846153846153847,1.0,0.9888111888111889,0.7044635074002005,0.9851912739028769,0.9869637978142075,0.8005502060603122,1.02388,0.38826,1.09863,8.075985852043715,123.82389200780227,18.286340713500977
yolo26n,1.0,0.9846153846153847,0.9644228813879158,0.9830127553344336,0.7140096225161259,0.985451560888578,0.9895138888888887,0.8621930214099374,1.02842,0.38858,,4.145227316359746,241.24129358439615,5.135502815246582
yolo26s,0.9890461038698535,0.9846153846153847,1.0,0.991220496161746,0.7076368998435109,0.9853185359264787,0.9839980158730158,0.8150941922336591,1.02335,0.29832,,8.011293418348941,124.82378909123658,19.370060920715332
